Model,Mean_ROC_AUC,Std_ROC_AUC,Min_ROC_AUC,Max_ROC_AUC,Overall_OOF_ROC_AUC,Accuracy,Precision,Recall,F1,Positive_Prediction_Rate,Sample_Count,Mean_Training_Seconds,Total_Training_Seconds,ROC_AUC_Rank
Random Forest,0.5402439582145002,0.02177329605062119,0.5214630151789938,0.5739739984438277,0.5422156965864082,0.5405069254687648,0.46811391433858374,0.45154549412276884,0.4596804573758504,0.4175445208706304,106130,103.38000000000002,516.9000000000001,1
Logistic Regression,0.539195975031817,0.022577467928723095,0.5136273272605133,0.5695716762636461,0.5395337142728189,0.5243286535381136,0.45869324071211653,0.5490639965171964,0.4998266142215969,0.5181475548855178,106130,2.8600000000000003,14.3,2
XGBoost,0.5385965060420405,0.020603718550985303,0.5181646619592638,0.572451903510315,0.5394737984338233,0.5316592857815886,0.4622056254893694,0.5011319111885068,0.48088230686482364,0.4693206444926034,106130,4.648,23.24,3
