Model,Backtest_Periods,Cumulative_Return,Annual_Return,Annual_Volatility,Sharpe_Ratio,Max_Drawdown,Win_Rate,Loss_Rate,Mean_Gross_Return,Mean_Net_Return,Median_Net_Return,Best_Period,Worst_Period,Average_Probability,Sharpe_Rank
XGBoost,260,2.469988159169113,0.27274237314215566,0.4164414564605276,0.6549356912260428,-0.51571495553391,0.5653846153846154,0.4346153846153846,0.01254224729269798,0.006542247292697977,0.005316990099539248,0.21193003916109468,-0.28341104629772984,0.6556372891481106,1
Random Forest,260,0.8037998663786734,0.1211433012459282,0.4246361683262297,0.2852872889359227,-0.598262272984312,0.5461538461538461,0.45384615384615384,0.010096734538669598,0.0040967345386695945,0.0031955843860436758,0.1614404204854921,-0.27783211763834637,0.6161041902201387,2
Logistic Regression,260,0.6928351250965334,0.10742946101226947,0.46739571619546594,0.22984690978070973,-0.5610587774478806,0.5230769230769231,0.47692307692307695,0.01018702647982273,0.004187026479822728,0.001613617121581229,0.2555170884589649,-0.22681108280628712,0.6164725416869412,3
