Recommendation_Date,Status,Completed_Stocks,Total_Stocks,Gross_Return,Trading_Cost,Net_Return,Win_Count,Loss_Count,Win_Rate,Net_Equity,Running_Max_Equity,Drawdown
2026-08-11,已完成,10,10,0.11274792060000756,0.006,0.10674792060000755,7.0,2.0,0.7,1.1067479206000075,1.1067479206000075,0.0
2026-08-13,觀察中,15,15,,,,,,,,,
2026-08-17,已完成,10,10,-0.028720712895573864,0.006,-0.034720712895573866,2.0,8.0,0.2,1.0683208438010812,1.1067479206000075,-0.03472071289557399
2026-08-18,觀察中,15,15,,,,,,,,,
2026-08-19,已完成,10,10,0.03715241506677967,0.006,0.031152415066779675,6.0,4.0,0.6,1.1016016181516648,1.1067479206000075,-0.0046499318883316265
2026-08-20,已完成,10,10,0.07872683296988062,0.006,0.07272683296988061,10.0,0.0,1.0,1.1817176150343311,1.1817176150343311,0.0
2026-08-21,已完成,10,10,0.12138203466133042,0.006,0.11538203466133042,9.0,1.0,0.9,1.3180665978521269,1.3180665978521269,0.0
2026-08-24,已完成,10,10,0.126085784484206,0.006,0.12008578448420598,10.0,0.0,1.0,1.4763476592576281,1.4763476592576281,0.0
2026-08-27,已完成,10,10,0.011618379571341597,0.006,0.005618379571341597,3.0,7.0,0.3,1.4846423407865992,1.4846423407865992,0.0
2026-08-31,觀察中,0,10,,,,,,,,,
2026-09-01,觀察中,0,10,,,,,,,,,
2026-09-02,觀察中,0,10,,,,,,,,,
2026-09-03,觀察中,0,10,,,,,,,,,
