,平均值,標準差,最低值,最高值
Accuracy,0.5312805832734095,0.018393335600270188,0.5129725002429307,0.5591418174944474
Precision,0.4608140935568853,0.034108750199708396,0.414575332678396,0.5084375273235988
Recall,0.49831560595628616,0.11369741441387303,0.3252916525087779,0.6045860695446227
F1,0.4729659073467509,0.061678460129788996,0.38107875008292974,0.5299113040196264
ROC_AUC,0.537950196156976,0.02040050449752994,0.5176117394601213,0.5716375650192072
