Fold,TrainStart,TrainEnd,ValidStart,ValidEnd,TrainSamples,ValidSamples,TrainPositiveRate,ValidPositiveRate,Accuracy,Precision,Recall,F1,ROC_AUC
1,2020-04-08,2021-04-20,2021-04-28,2022-05-13,19825,20582,0.4708701134930643,0.39408220775434843,0.5129725002429307,0.414575332678396,0.5723092097152016,0.48083695877356536,0.5362439627041135
2,2020-04-08,2022-05-06,2022-05-16,2023-06-01,40397,21049,0.42748223878010744,0.4291415269133926,0.5279110646586537,0.4494407158836689,0.44481346175135617,0.44711511712012464,0.5176117394601213
3,2020-04-08,2023-05-25,2023-06-02,2024-06-20,61436,21161,0.42899928380753954,0.417229809555314,0.5591418174944474,0.45996156310057656,0.3252916525087779,0.38107875008292974,0.5369008310749595
4,2020-04-08,2024-06-13,2024-06-21,2025-07-11,82592,21589,0.4263730143355289,0.4302654129417759,0.5384686645977118,0.47165532879818595,0.6045860695446227,0.5299113040196264,0.5716375650192072
5,2020-04-08,2025-07-04,2025-07-14,2026-08-03,104176,21749,0.4260866226386116,0.4909651018437629,0.5179088693733045,0.5084375273235988,0.5445776362614722,0.5258874067375084,0.5273568825264787
