date,Portfolio_Gross_Return,Portfolio_Net_Return,Target_Hit_Rate,Average_AI_Score,Stock_Count,Gross_Equity,Net_Equity,Running_Max,Drawdown
2021-04-28,-0.052899391982166775,-0.05889939198216678,0.0,0.6269476,5,0.9471006080178332,0.9411006080178332,0.9411006080178332,0.0
2021-05-06,-0.09772879053774755,-0.10372879053774756,0.0,0.8522167,5,0.8545416110786851,0.8434813801738046,0.9411006080178332,-0.10372879053774753
2021-05-13,-0.01442780097864631,-0.02042780097864631,0.0,0.84562206,5,0.8422124547860701,0.8262509104104202,0.9411006080178332,-0.12203764042753307
2021-05-20,0.15370685750349775,0.14770685750349774,1.0,0.76390237,5,0.9716662845615436,0.9482938358965474,0.9482938358965474,0.0
2021-05-27,0.027765962043065206,0.021765962043065207,0.8,0.8275092,5,0.9986455337372057,0.9689343635343444,0.9689343635343444,0.0
2021-06-03,0.025961749849352244,0.019961749849352246,0.8,0.82233465,5,1.0245721192722639,0.9882759889196583,0.9882759889196583,0.0
2021-06-10,0.018778732903347063,0.012778732903347061,0.4,0.7053837,5,1.043812285440294,1.0009049038168538,1.0009049038168538,0.0
2021-06-18,0.008655752572741315,0.0026557525727413157,0.2,0.7302856,5,1.052847266315453,1.0035630595902347,1.0035630595902347,0.0
2021-06-25,0.03912527664128489,0.03312527664128489,0.8,0.63271785,5,1.0940402068710655,1.0368063635661355,1.0368063635661355,0.0
2021-07-02,1.1490306096662018e-05,-0.005988509693903337,0.6,0.6272246,5,1.0940527777279245,1.0305974386072192,1.0368063635661355,-0.005988509693903188
2021-07-09,0.029816739415123104,0.023816739415123106,0.8,0.5931042,5,1.1266738643078298,1.0551429092444207,1.0551429092444207,0.0
2021-07-16,0.023113240011244107,0.017113240011244108,0.2,0.6117843,5,1.1527149477479726,1.0731998230964828,1.0731998230964828,0.0
2021-07-23,-0.018522160365735996,-0.024522160365735995,0.2,0.6254342,5,1.1313641766298037,1.0468826449300312,1.0731998230964828,-0.024522160365736068
2021-07-30,0.016959699367054125,0.010959699367054123,0.6,0.6860251,5,1.1505517729401,1.058356163991051,1.0731998230964828,-0.013831216504120891
2021-08-06,-0.0690198995204752,-0.0750198995204752,0.2,0.7124053,5,1.0711408051786697,0.9789583909115669,1.0731998230964828,-0.08781349955221096
2021-08-13,-0.06114109477363701,-0.06714109477363701,0.0,0.82298106,5,1.0056500836933309,0.9132300528079261,1.0731998230964828,-0.1490586998300083
2021-08-20,0.06720745776796182,0.06120745776796181,1.0,0.8256715,5,1.0732372692224976,0.9691265426976008,1.0731998230964828,-0.09697474613683899
2021-08-27,0.047253183528839136,0.04125318352883914,0.8,0.6581146,5,1.1239511468750585,1.0091060978261743,1.0731998230964828,-0.05972207960804543
2021-09-03,-0.055271204454270764,-0.06127120445427077,0.0,0.685824,5,1.061829013239515,0.9472769517902154,1.0731998230964828,-0.11733404031221739
2021-09-10,-0.02431359509941764,-0.03031359509941764,0.2,0.6811546,5,1.0360121325467953,0.9185615818266363,1.0731998230964828,-0.14409081882223174
2021-09-17,0.016313672048516126,0.010313672048516126,0.2,0.7295679,5,1.0529132947154476,0.9280353247379625,1.0731998230964828,-0.13526325222425029
2021-09-28,-0.07051927075662415,-0.07651927075662415,0.0,0.73129946,5,0.9786626170021597,0.8570227384526267,1.0731998230964828,-0.20143227756050552
2021-10-05,-0.015898041262574835,-0.021898041262574837,0.2,0.80201447,5,0.9631037983349199,0.8382556191630262,1.0731998230964828,-0.21891934649744593
2021-10-13,0.05931913272550569,0.05331913272550568,1.0,0.8374403,5,1.0202342803767877,0.8829506817790804,1.0731998230964828,-0.17727280346401864
2021-10-20,0.07041602446356307,0.06441602446356307,0.8,0.6225029,5,1.092075122422365,0.9398268544966812,1.0731998230964828,-0.12427598824511832
2021-10-27,0.0004895020679355433,-0.0055104979320644565,0.4,0.68070984,5,1.092609695453132,0.9346479405584787,1.0731998230964828,-0.12910166360095277
2021-11-03,0.0039228325183162886,-0.0020771674816837133,0.4,0.69084805,5,1.096895820296283,0.9327065202495279,1.0731998230964828,-0.13091066530517326
2021-11-10,0.007755696272795531,0.0017556962727955326,0.6,0.6943659,5,1.1054030111214,0.9343440696107422,1.0731998230964828,-0.12938480839952315
2021-11-17,-0.008030852107621533,-0.014030852107621533,0.0,0.6062119,5,1.0965256830197645,0.9212344261524007,1.0731998230964828,-0.14160028139551795
2021-11-24,-0.0068392450075975605,-0.01283924500759756,0.0,0.6396123,5,1.089026275216469,0.9094064716455964,1.0731998230964828,-0.15262148569713374
2021-12-01,0.008018498741630565,0.002018498741630564,0.4,0.6665906,5,1.097758631033895,0.9112421074642437,1.0731998230964828,-0.15091105323232867
2021-12-08,-0.013093715974984299,-0.0190937159749843,0.0,0.6645991,5,1.0833848913100494,0.8938431094798753,1.0731998230964828,-0.16712331641940914
2021-12-15,0.038003583941668986,0.03200358394166898,0.8,0.72532606,5,1.124557399968087,0.922449292464797,1.0731998230964828,-0.14046827756337876
2021-12-22,0.03118797059599987,0.02518797059599987,0.6,0.6579494,5,1.1596300630918057,0.9456839181197012,1.0731998230964828,-0.11881841781231606
2021-12-29,0.002318637926035971,-0.0036813620739640286,0.6,0.61257255,5,1.162318825336262,0.9422025132095776,1.0731998230964828,-0.12206236626925748
2022-01-06,-0.08326427863287691,-0.08926427863287692,0.0,0.6465758,5,1.0655391868032253,0.858097485541841,1.0731998230964828,-0.2004308358288871
2022-01-13,-0.002486439996388423,-0.008486439996388423,0.2,0.81337625,5,1.0628897875514387,0.8508152927197383,1.0731998230964828,-0.20721633156358765
2022-01-20,-0.03829722239075832,-0.044297222390758326,0.0,0.69985396,5,1.0221840609807153,0.813126538484674,1.0731998230964828,-0.24233444603207666
