策略,回測期數,累積報酬,年化報酬,年化波動率,最大回撤,Sharpe_Ratio,每期勝率,每期虧損率,平均每期成本後報酬,每期報酬中位數,最佳一期,最差一期
AI Top 5,256,2.6012048840586717,0.2869173814785313,0.40187365869834135,-0.5317263089600267,0.8301227796533087,0.546875,0.453125,0.006619136480716511,0.007727473875361086,0.18938257336701145,-0.21232365470140618
可用股票等權基準,256,0.4571435688839187,0.07693508020946327,0.2941611255654317,-0.4914824086237314,0.4008266952477817,0.5546875,0.4453125,0.002339437139499201,0.004707483706744118,0.16147429742843522,-0.1777104696470318
