date,Model,Fold,Stock_Count,Gross_Return,Trading_Cost,Net_Return,Mean_Probability,Net_Equity,Running_Max_Equity,Drawdown
2021-04-28,Logistic Regression,1,5,-0.1386151414185622,0.006,-0.14461514141856222,0.5984639536025954,0.8553848585814378,0.8553848585814378,0.0
2021-05-06,Logistic Regression,1,5,-0.11533094205635426,0.006,-0.12133094205635427,0.6404412449117103,0.7516002078690105,0.8553848585814378,-0.12133094205635431
2021-05-13,Logistic Regression,1,5,-0.0032178368942487713,0.006,-0.009217836894248772,0.7112581247324519,0.7446720797431905,0.8553848585814378,-0.12943037011650205
2021-05-20,Logistic Regression,1,5,0.1543207992789961,0.006,0.1483207992789961,0.6607601498849324,0.8551224378114528,0.8553848585814378,-0.0003067867841618499
2021-05-27,Logistic Regression,1,5,0.02736469050396013,0.006,0.02136469050396013,0.630505146948274,0.8733918640382864,0.8733918640382864,0.0
2021-06-03,Logistic Regression,1,5,0.006751833072287971,0.006,0.0007518330722879711,0.6748624867817877,0.8740485089267376,0.8740485089267376,0.0
2021-06-10,Logistic Regression,1,5,0.025593288200690244,0.006,0.019593288200690243,0.6493670673900916,0.8911739932635226,0.8911739932635226,0.0
2021-06-18,Logistic Regression,1,5,0.050267845854331486,0.006,0.04426784585433149,0.617639524286649,0.9306243462267013,0.9306243462267013,0.0
2021-06-25,Logistic Regression,1,5,0.007890246437390714,0.006,0.0018902464373907139,0.5979507103019917,0.9323834555817053,0.9323834555817053,0.0
2021-07-02,Logistic Regression,1,5,0.07207006124723261,0.006,0.06607006124723261,0.5722370994107226,0.9939860875978951,0.9939860875978951,0.0
2021-07-09,Logistic Regression,1,5,0.025108811158284384,0.006,0.019108811158284382,0.5520629125114042,1.0129799800397652,1.0129799800397652,0.0
2021-07-16,Logistic Regression,1,5,0.017460571685715888,0.006,0.011460571685715888,0.5673221788737318,1.024589309717206,1.024589309717206,0.0
2021-07-23,Logistic Regression,1,5,-0.04288227471416299,0.006,-0.04888227471416299,0.592279813177271,0.9745050536104151,1.024589309717206,-0.048882274714162954
2021-07-30,Logistic Regression,1,5,0.05797893687514697,0.006,0.05197893687514697,0.6071932303490856,1.0251587902765424,1.0251587902765424,0.0
2021-08-06,Logistic Regression,1,5,-0.08729920419798091,0.006,-0.09329920419798092,0.6127304471014914,0.9295122909671762,1.0251587902765424,-0.09329920419798088
2021-08-13,Logistic Regression,1,5,-0.05059025895431042,0.006,-0.05659025895431042,0.6595480913197046,0.8769109497201294,1.0251587902765424,-0.14460963702649654
2021-08-20,Logistic Regression,1,5,0.07308690602635695,0.006,0.06708690602635695,0.6140206899058966,0.9357401921974872,1.0251587902765424,-0.0872241441298417
2021-08-27,Logistic Regression,1,5,0.021507123721726962,0.006,0.015507123721726962,0.5907994675633483,0.9502508311292862,1.0251587902765424,-0.07306961600265782
2021-09-03,Logistic Regression,1,5,-0.03455384200481841,0.006,-0.04055384200481841,0.6306017706835202,0.9117145090587218,1.0251587902765424,-0.11066020434475177
2021-09-10,Logistic Regression,1,5,-0.015716728850700988,0.006,-0.021716728850700986,0.6300883412983429,0.8919150522762436,1.0251587902765424,-0.1299737555431345
2021-09-17,Logistic Regression,1,5,-0.009251661162773983,0.006,-0.015251661162773983,0.6211001178124889,0.8783118661129484,1.0251587902765424,-0.14324310102631144
2021-09-28,Logistic Regression,1,5,-0.06800229190419445,0.006,-0.07400229190419445,0.616774346256976,0.8133147750139402,1.0251587902765424,-0.20664507515509478
2021-10-05,Logistic Regression,1,5,-0.026942587704625542,0.006,-0.03294258770462554,0.6604236794418312,0.7865220817065757,1.0251587902765424,-0.23278023934769476
2021-10-13,Logistic Regression,1,5,0.11249308443817685,0.006,0.10649308443817684,0.6740817672221389,0.8702812441662446,1.0251587902765424,-0.15107664059391102
2021-10-20,Logistic Regression,1,5,0.05150192484090379,0.006,0.04550192484090379,0.610546956443506,0.9098807159287454,1.0251587902765424,-0.11244899369852757
2021-10-27,Logistic Regression,1,5,0.0029601520522610112,0.006,-0.003039847947738989,0.6131261982136363,0.9071148169017421,1.0251587902765424,-0.11514701380354675
2021-11-03,Logistic Regression,1,5,0.006396881259221087,0.006,0.0003968812592210873,0.6018808033522859,0.9074748337725321,1.0251587902765424,-0.11479583223615963
2021-11-10,Logistic Regression,1,5,0.03845307614644071,0.006,0.03245307614644071,0.6309900248909907,0.9369251836539308,1.0251587902765424,-0.08606823397457297
2021-11-17,Logistic Regression,1,5,0.005531260368009638,0.006,-0.0004687396319903621,0.5828379354814083,0.9364860096881424,1.0251587902765424,-0.0864966300142439
2021-11-24,Logistic Regression,1,5,-0.0023390592429712196,0.006,-0.008339059242971219,0.6037636149458617,0.9286765973731393,1.0251587902765424,-0.09411438873520894
2021-12-01,Logistic Regression,1,5,0.010999232934532022,0.006,0.004999232934532022,0.5801628488389016,0.9333192680042564,1.0251587902765424,-0.08958565555245535
2021-12-08,Logistic Regression,1,5,-0.014397471211334412,0.006,-0.020397471211334412,0.5973060242239434,0.9142819151041558,1.0251587902765424,-0.10815580593370999
2021-12-15,Logistic Regression,1,5,0.013059968952152733,0.006,0.007059968952152733,0.5900598872811614,0.9207367170383058,1.0251587902765424,-0.10185941361344442
2021-12-22,Logistic Regression,1,5,0.04053920651674359,0.006,0.03453920651674359,0.5621909560701915,0.9525382326556404,1.0251587902765424,-0.07083835041916986
2021-12-29,Logistic Regression,1,5,-0.04938338020091233,0.006,-0.05538338020091233,0.5635955498687946,0.899783445560568,1.0251587902765424,-0.12229846332601191
2022-01-06,Logistic Regression,1,5,-0.05772013320932867,0.006,-0.06372013320932868,0.5740381698780778,0.8424491245498998,1.0251587902765424,-0.17822572216091093
2022-01-13,Logistic Regression,1,5,0.01696198434499987,0.006,0.010961984344999868,0.6179551796583131,0.8516840386646748,1.0251587902765424,-0.16921744539211514
2022-01-20,Logistic Regression,1,5,-0.017558839191086563,0.006,-0.02355883919108656,0.5689840014013002,0.8316193513561585,1.0251587902765424,-0.18878971799888244
2022-02-07,Logistic Regression,1,5,0.008003333360709774,0.006,0.002003333360709774,0.6097827193860338,0.833285362146142,1.0251587902765424,-0.18716459337839897
2022-02-14,Logistic Regression,1,5,0.0014725727588826177,0.006,-0.004527427241117383,0.5876036044914079,0.8295127232979371,1.0251587902765424,-0.1908446465408824
2022-02-21,Logistic Regression,1,5,-0.006204686695150241,0.006,-0.012204686695150242,0.634708083206254,0.8193887804004449,1.0251587902765424,-0.20072013411755452
2022-03-01,Logistic Regression,1,5,-0.03921278372227446,0.006,-0.045212783722274455,0.5984888033751,0.7823419326877414,1.0251587902765424,-0.236857801827266
2022-03-08,Logistic Regression,1,5,-0.05124503348140945,0.006,-0.05724503348140945,0.7083595447234659,0.7375567425571211,1.0251587902765424,-0.28054390251274053
2022-03-15,Logistic Regression,1,5,0.10803647563176559,0.006,0.10203647563176559,0.7424865918645945,0.8128144331460951,1.0251587902765424,-0.20713313795335664
2022-03-22,Logistic Regression,1,5,0.02492310155953914,0.006,0.018923101559539142,0.5962325732908091,0.828195403213578,1.0251587902765424,-0.19212963779965486
2022-03-29,Logistic Regression,1,5,-0.045684383215205446,0.006,-0.051684383215205444,0.6078573475662832,0.7853906346168159,1.0251587902765424,-0.23388391918782425
2022-04-07,Logistic Regression,1,5,-0.041257313981346154,0.006,-0.04725731398134615,0.6850918190961306,0.7482751827987203,1.0251587902765424,-0.2700885073649236
2022-04-14,Logistic Regression,1,5,-0.028944577978641715,0.006,-0.034944577978641714,0.6692129620631638,0.722127022323928,1.0251587902765424,-0.2955949564368169
2022-04-21,Logistic Regression,1,5,-0.06615893497806127,0.006,-0.07215893497806128,0.6213321607520202,0.6700191054741547,1.0251587902765424,-0.34642407417351107
2022-04-28,Logistic Regression,1,5,0.030659357833051803,0.006,0.0246593578330518,0.6760980854081382,0.6865413463510232,1.0251587902765424,-0.3303073115474875
2022-05-06,Logistic Regression,1,5,0.01252481703375532,0.006,0.00652481703375532,0.6726723861646308,0.6910209030220716,1.0251587902765424,-0.32593768928649114
2022-05-13,Logistic Regression,1,5,0.03627025664281489,0.006,0.030270256642814894,0.6877822822240299,0.7119382831020994,1.0251587902765424,-0.3055336501479444
2022-05-16,Logistic Regression,2,5,0.10249364236670173,0.006,0.09649364236670173,0.6428656964142476,0.7806358011789171,1.0251587902765424,-0.2385220625496114
2022-05-23,Logistic Regression,2,5,-0.003680054655263465,0.006,-0.009680054655263465,0.6260948365295838,0.7730792039576497,1.0251587902765424,-0.24589321060290847
2022-05-30,Logistic Regression,2,5,0.05145321757624446,0.006,0.04545321757624446,0.5936033372560776,0.8082181412188068,1.0251587902765424,-0.21161663062871916
2022-06-07,Logistic Regression,2,5,-0.07678529879866094,0.006,-0.08278529879866095,0.59398328818748,0.7413095609035095,1.0251587902765424,-0.2768831834300157
2022-06-14,Logistic Regression,2,5,-0.03410865231136877,0.006,-0.040108652311368766,0.5937306615736503,0.7115766334701372,1.0251587902765424,-0.3058864244063251
2022-06-21,Logistic Regression,2,5,0.0014312874699300648,0.006,-0.004568712530069935,0.6082757871305876,0.7083256443886972,1.0251587902765424,-0.3090576297964316
2022-06-28,Logistic Regression,2,5,-0.1195486774862606,0.006,-0.12554867748626058,0.6640273544694336,0.6193962965060928,1.0251587902765424,-0.3958045305947119
2022-07-05,Logistic Regression,2,5,-0.08461875770004994,0.006,-0.09061875770004994,0.7288102913641703,0.563267373592699,1.0251587902765424,-0.4505559734402176
2022-07-12,Logistic Regression,2,5,0.09864429795724408,0.006,0.09264429795724408,0.7958230762699189,0.6154508839814153,1.0251587902765424,-0.3996531173327852
2022-07-19,Logistic Regression,2,5,0.03633931058446509,0.006,0.03033931058446509,0.690435928610782,0.6341232395000111,1.0251587902765424,-0.3814390068011291
2022-07-26,Logistic Regression,2,5,-0.0014712238758455508,0.006,-0.007471223875845551,0.6829827335891134,0.6293855628128302,1.0251587902765424,-0.3860604144621831
2022-08-02,Logistic Regression,2,5,0.0056047585141683065,0.006,-0.0003952414858316936,0.6725129912042528,0.6291368035278231,1.0251587902765424,-0.38630306885618193
2022-08-09,Logistic Regression,2,5,0.05148516516148607,0.006,0.04548516516148607,0.6627201640604239,0.6577531949454555,1.0251587902765424,-0.3583889625840083
2022-08-16,Logistic Regression,2,5,0.015837078952166416,0.006,0.009837078952166416,0.6276895738995355,0.6642235650551737,1.0251587902765424,-0.3520773841523658
2022-08-23,Logistic Regression,2,5,0.010872558857327741,0.006,0.004872558857327741,0.6255664973468499,0.667460033470329,1.0251587902765424,-0.3489203430716544
2022-08-30,Logistic Regression,2,5,-0.0763147251020377,0.006,-0.0823147251020377,0.5776634681077305,0.612518244298622,1.0251587902765424,-0.4025137860512402
2022-09-06,Logistic Regression,2,5,-0.019738338336855055,0.006,-0.025738338336855057,0.6338453399359382,0.5967530424893677,1.0251587902765424,-0.41789208837745995
2022-09-14,Logistic Regression,2,5,-0.021023683423469254,0.006,-0.027023683423469252,0.6013714525013547,0.5806265771871428,1.0251587902765424,-0.43362278829944434
2022-09-21,Logistic Regression,2,5,-0.1197574516890629,0.006,-0.1257574516890629,0.5888530141083871,0.5076084584571448,1.0251587902765424,-0.504848943137663
2022-09-28,Logistic Regression,2,5,0.07352143995594665,0.006,0.06752143995594664,0.6871352070308033,0.5418829125059895,1.0251587902765424,-0.4714156307826093
2022-10-05,Logistic Regression,2,5,-0.1230176039775539,0.006,-0.1290176039775539,0.6512669632352719,0.4719704774980883,1.0251587902765424,-0.5396123195990237
2022-10-13,Logistic Regression,2,5,-0.007219647783597094,0.006,-0.013219647783597094,0.7779304828528943,0.4657311940213074,1.0251587902765424,-0.5456984825778319
2022-10-20,Logistic Regression,2,5,0.003658080281776477,0.006,-0.0023419197182235232,0.7191128832280779,0.46464048895463717,1.0251587902765424,-0.5467624202595017
2022-10-27,Logistic Regression,2,5,0.01705223197726171,0.006,0.01105223197726171,0.7061011783491178,0.46977580342459213,1.0251587902765424,-0.5417531333873971
2022-11-03,Logistic Regression,2,5,0.013303794495614696,0.006,0.007303794495614696,0.6504458663545106,0.4732069493518176,1.0251587902765424,-0.5384061924453993
2022-11-10,Logistic Regression,2,5,0.06046945953664538,0.006,0.05446945953664538,0.6914940624502361,0.4989822761319958,1.0251587902765424,-0.5132634272224379
2022-11-17,Logistic Regression,2,5,0.02574308645346619,0.006,0.019743086453466188,0.6258350859338362,0.5088337263484172,1.0251587902765424,-0.5036537449860267
2022-11-24,Logistic Regression,2,5,0.08245802072168376,0.006,0.07645802072168376,0.5996790492584927,0.5477381459414561,1.0251587902765424,-0.4657040927350381
2022-12-01,Logistic Regression,2,5,0.0047313019406201254,0.006,-0.0012686980593798747,0.5939397816792753,0.5470432316186519,1.0251587902765424,-0.4663819529157197
2022-12-08,Logistic Regression,2,5,-0.004508560736788292,0.006,-0.010508560736788292,0.5677033484718221,0.5412945945935383,1.0251587902765424,-0.47198951057375116
2022-12-15,Logistic Regression,2,5,-0.05296743260487504,0.006,-0.05896743260487504,0.5480066618209564,0.5093758420674607,1.0251587902765424,-0.5031249335236606
2022-12-22,Logistic Regression,2,5,-0.05575655696067385,0.006,-0.06175655696067385,0.5707899102338976,0.4779185438624303,1.0251587902765424,-0.5338102268688453
2022-12-29,Logistic Regression,2,5,0.030190665688917907,0.006,0.02419066568891791,0.5724114168691469,0.4894797115835408,1.0251587902765424,-0.5225327859194371
2023-01-06,Logistic Regression,2,5,0.030507028758908872,0.006,0.024507028758908873,0.559713288294021,0.5014754049522211,1.0251587902765424,-0.5108314831725286
2023-01-13,Logistic Regression,2,5,0.10537117662207059,0.006,0.09937117662207058,0.5337915678127668,0.5513076059893527,1.0251587902765424,-0.46222223208890956
2023-02-01,Logistic Regression,2,5,0.0011053009692967742,0.006,-0.004894699030703226,0.5398098605761128,0.5486091211846973,1.0251587902765424,-0.46485449240823773
2023-02-08,Logistic Regression,2,5,-0.01759177805503285,0.006,-0.023591778055032847,0.5348388489547835,0.5356664565587412,1.0251587902765424,-0.4774795264504905
2023-02-15,Logistic Regression,2,5,-0.009161330173623815,0.006,-0.015161330173623816,0.538160191230137,0.5275450405479191,1.0251587902765424,-0.4854016318724529
2023-02-22,Logistic Regression,2,5,0.0050415721530475245,0.006,-0.0009584278469524756,0.5795057907866521,0.5270394266905363,1.0251587902765424,-0.4858948372784626
