策略,樣本數,選股日期數,實際達標率,平均毛報酬,毛報酬中位數,平均成本後報酬,成本後正報酬率
AI Top 5,1280,256,0.45859375,0.012619136480716515,0.004621794994900785,0.006619136480716511,0.48671875
可用股票等權基準,21237,256,0.435937279276734,0.008447484152141752,0.0025412352344709177,0.002447484152141748,0.46984037293403025
