Fold,Start_Date,End_Date,Periods,Top5_Total_Return,Benchmark_Total_Return,Top5_Average_Return,Benchmark_Average_Return,Average_Excess_Return,Top5_Win_Rate,Benchmark_Win_Rate,Top5_Max_Drawdown,Benchmark_Max_Drawdown,Top5_Sharpe,Benchmark_Sharpe
1,2021-04-28,2022-05-13,52,-0.26570125278609846,-0.258455305768432,-0.004765790984443007,-0.005017542204926135,0.000251751220483128,0.4807692307692308,0.46153846153846156,-0.39590351206661245,-0.30156498001683263,-0.6960762913621832,-0.9419115183936909
2,2022-05-20,2023-05-31,51,0.29692704751561294,-0.09771670488240358,0.006589660737301487,-0.0012846223055631351,0.007874283042864623,0.5490196078431373,0.5490196078431373,-0.3455731640127352,-0.30395295516096554,0.8559505276378184,-0.2396132518281224
3,2023-06-07,2024-06-18,51,0.5191878239156331,0.18440055162255575,0.009066424149918663,0.0037002764641817197,0.005366147685736943,0.5294117647058824,0.5882352941176471,-0.14032652755277875,-0.10573764151329623,1.5575943412524562,0.9528757691500478
4,2024-06-25,2025-07-08,51,-0.12007584791261405,-0.1497116712237293,-0.00025565476013207714,-0.002093812106919581,0.0018381573467875036,0.5294117647058824,0.5490196078431373,-0.47124394622716403,-0.3761359452183123,-0.027265238159311162,-0.324071772834803
5,2025-07-15,2026-07-28,51,1.8288035369573685,1.1625057764303124,0.022684277132803354,0.016537140347672657,0.0061471367851306975,0.6470588235294118,0.6274509803921569,-0.2749226124025639,-0.25129584170232455,2.440505184282248,2.2646437178338488
